"Датум","Цена на последна трансакција","Мак.","Мин.","Просечна цена","%пром.","Количина","Промет во БЕСТ во денари","Вкупен промет во денари"
"02.1.2014","1.800,00","1.800,00","1.800,00","1.800,00","0,57","410","738.000","738.000"
"03.1.2014","1.800,00","1.800,00","1.791,00","1.796,76","-0,18","547","982.827","982.827"
"08.1.2014","1.800,00","1.800,00","1.800,00","1.800,00","0,18","506","910.800","910.800"
"09.1.2014","1.800,00","1.800,00","1.800,00","1.800,00","0,00","810","1.458.000","1.458.000"
"10.1.2014","1.801,00","1.820,00","1.800,00","1.803,34","0,19","379","683.465","683.465"
"13.1.2014","1.802,00","1.802,00","1.802,00","1.802,00","-0,07","70","126.140","126.140"
"14.1.2014","1.810,00","1.810,00","1.810,00","1.810,00","0,44","25","45.250","45.250"
"15.1.2014","1.800,00","1.810,00","1.800,00","1.800,80","-0,51","1.465","2.638.165","2.638.165"
"16.1.2014","1.800,00","1.800,00","1.790,00","1.797,40","-0,19","464","833.995","833.995"
"17.1.2014","1.800,00","1.800,00","1.800,00","1.800,00","0,14","150","270.000","270.000"
"20.1.2014","1.790,00","1.800,00","1.790,00","1.797,85","-0,12","2.331","4.190.800","4.190.800"
"21.1.2014","1.790,00","1.795,00","1.790,00","1.791,67","-0,34","60","107.500","107.500"
"22.1.2014","1.730,00","1.760,00","1.720,00","1.749,70","-2,34","471","824.110","824.110"
"23.1.2014","1.730,00","1.750,00","1.700,00","1.700,20","-2,83","43.332","73.672.880","73.672.880"
"24.1.2014","1.780,00","1.785,00","1.780,00","1.780,47","4,72","331","589.335","589.335"
"27.1.2014","1.780,00","1.780,00","1.780,00","1.780,00","-0,03","794","1.413.320","1.413.320"
"28.1.2014","1.750,00","1.750,00","1.750,00","1.750,00","-1,69","441","771.750","771.750"
"29.1.2014","1.750,00","1.750,00","1.749,00","1.749,89","-0,01","280","489.970","489.970"
"30.1.2014","1.720,00","1.721,00","1.719,00","1.720,04","-1,71","500","860.020","860.020"
"31.1.2014","1.700,00","1.720,00","1.700,00","1.708,92","-0,65","913","1.560.244","1.560.244"
"03.2.2014","1.680,00","1.700,00","1.680,00","1.697,61","-0,66","201","341.220","341.220"
"04.2.2014","1.700,00","1.700,00","1.699,00","1.699,67","0,12","30","50.990","50.990"
"05.2.2014","1.612,00","1.650,00","1.612,00","1.631,90","-3,99","105","171.350","171.350"
"06.2.2014","1.650,00","1.650,00","1.650,00","1.650,00","1,11","17","28.050","28.050"
"07.2.2014","1.602,00","1.650,00","1.602,00","1.630,80","-1,16","10","16.308","16.308"
"10.2.2014","1.679,00","1.679,00","1.650,00","1.669,94","2,40","160","267.190","267.190"
"11.2.2014","1.652,00","1.679,00","1.652,00","1.658,23","-0,70","65","107.785","107.785"
