"Датум","Цена на последна трансакција","Мак.","Мин.","Просечна цена","%пром.","Количина","Промет во БЕСТ во денари","Вкупен промет во денари"
"02.1.2014","80,00","","","80,00","0,00","0","0","0"
"03.1.2014","80,00","","","80,00","0,00","0","0","0"
"08.1.2014","80,00","80,00","80,00","80,00","0,00","435","34.800","34.800"
"09.1.2014","80,00","","","80,00","0,00","0","0","0"
"10.1.2014","80,00","","","80,00","0,00","0","0","0"
"13.1.2014","75,00","75,00","75,00","75,00","-6,25","2.050","153.750","153.750"
"14.1.2014","73,00","73,00","73,00","73,00","-2,67","659","48.107","48.107"
"15.1.2014","73,00","73,00","73,00","73,00","0,00","701","51.173","51.173"
"16.1.2014","73,00","","","73,00","0,00","0","0","0"
"17.1.2014","73,00","73,00","73,00","73,00","0,00","1.931","140.963","140.963"
"20.1.2014","74,00","75,00","74,00","74,76","2,41","800","59.809","59.809"
"21.1.2014","75,00","75,00","75,00","75,00","0,32","600","45.000","45.000"
"22.1.2014","73,00","73,00","73,00","73,00","-2,67","900","65.700","65.700"
"23.1.2014","73,00","73,00","73,00","73,00","0,00","440","32.120","32.120"
"24.1.2014","75,00","75,00","75,00","75,00","2,74","347","26.025","26.025"
"27.1.2014","75,00","","","75,00","0,00","0","0","0"
"28.1.2014","75,00","","","75,00","0,00","0","0","0"
"29.1.2014","80,00","80,00","80,00","80,00","6,67","300","24.000","24.000"
"30.1.2014","75,00","75,00","75,00","75,00","-6,25","300","22.500","22.500"
"31.1.2014","75,00","75,00","75,00","75,00","0,00","700","52.500","52.500"
"03.2.2014","75,00","","","75,00","0,00","0","0","0"
"04.2.2014","75,00","75,00","75,00","75,00","0,00","300","22.500","22.500"
"05.2.2014","75,00","","","75,00","0,00","0","0","0"
"06.2.2014","75,00","75,00","75,00","75,00","0,00","4.000","300.000","300.000"
"07.2.2014","75,00","75,00","75,00","75,00","0,00","50","3.750","3.750"
"10.2.2014","75,00","","","75,00","0,00","0","0","0"
"11.2.2014","73,00","73,00","73,00","73,00","-2,67","1.025","74.825","74.825"
