"Датум","Цена на последна трансакција","Мак.","Мин.","Просечна цена","%пром.","Количина","Промет во БЕСТ во денари","Вкупен промет во денари"
"02.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"03.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"08.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"09.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"10.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"13.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"14.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"15.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"16.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"17.1.2014","47.000,00","47.000,00","47.000,00","47.000,00","0,00","3","141.000","141.000"
"20.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"21.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"22.1.2014","47.000,00","47.000,00","47.000,00","47.000,00","0,00","13","611.000","611.000"
"23.1.2014","47.000,00","","","47.000,00","0,00","0","0","0"
"24.1.2014","47.500,00","47.500,00","47.500,00","47.500,00","1,06","2","95.000","95.000"
"27.1.2014","47.500,00","","","47.500,00","0,00","0","0","0"
"28.1.2014","47.500,00","","","47.500,00","0,00","0","0","0"
"29.1.2014","47.500,00","47.500,00","47.500,00","47.500,00","0,00","3","142.500","142.500"
"30.1.2014","47.500,00","47.500,00","47.500,00","47.500,00","0,00","10","475.000","475.000"
"31.1.2014","47.500,00","47.500,00","47.500,00","47.500,00","0,00","5","237.500","237.500"
"03.2.2014","47.500,00","","","47.500,00","0,00","0","0","0"
"04.2.2014","47.500,00","","","47.500,00","0,00","0","0","0"
"05.2.2014","47.500,00","","","47.500,00","0,00","0","0","0"
"06.2.2014","48.000,00","48.000,00","48.000,00","48.000,00","1,05","3","144.000","144.000"
"07.2.2014","48.000,00","","","48.000,00","0,00","0","0","0"
"10.2.2014","48.000,00","","","48.000,00","0,00","0","0","0"
"11.2.2014","48.000,00","","","48.000,00","0,00","0","0","0"
"12.2.2014","48.500,00","48.500,00","48.500,00","48.500,00","1,04","3","145.500","145.500"
"13.2.2014","48.500,00","","","48.500,00","0,00","0","0","0"
"14.2.2014","48.500,00","","","48.500,00","0,00","0","0","0"
"17.2.2014","48.500,00","","","48.500,00","0,00","0","0","0"
"18.2.2014","48.500,00","","","48.500,00","0,00","0","0","0"
"19.2.2014","48.200,00","48.200,00","48.001,00","48.133,67","-0,76","6","288.802","288.802"
"20.2.2014","48.200,00","48.200,00","48.200,00","48.200,00","0,14","3","144.600","144.600"
"21.2.2014","48.300,00","48.300,00","48.200,00","48.260,00","0,12","5","241.300","241.300"
"24.2.2014","48.300,00","","","48.260,00","0,00","0","0","0"
"25.2.2014","48.300,00","","","48.260,00","0,00","0","0","0"
"26.2.2014","48.300,00","","","48.260,00","0,00","0","0","0"
"27.2.2014","48.300,00","","","48.260,00","0,00","0","0","0"
"28.2.2014","48.300,00","","","48.260,00","0,00","0","0","0"
"03.3.2014","48.300,00","","","48.260,00","0,00","0","0","0"
"04.3.2014","48.300,00","","","48.260,00","0,00","0","0","0"
"05.3.2014","48.800,00","48.800,00","48.800,00","48.800,00","1,12","3","146.400","146.400"
"06.3.2014","48.800,00","","","48.800,00","0,00","0","0","0"
